DI,StructuralIntegrity,ExteriorCharm
1621,4,Gleaming
1622,5,Common
1623,5,Gleaming
1624,5,Gleaming
1625,5,Gleaming
1626,7,Common
1627,5,Enchanting
1628,5,Common
1629,5,Common
1630,6,Common
1631,5,Common
1632,5,Gleaming
1633,5,Gleaming
1634,6,Gleaming
1635,5,Gleaming
1636,5,Common
1637,8,Gleaming
1638,5,Common
1639,7,Common
1640,3,Gleaming
1641,5,Gleaming
1642,6,Common
1643,6,Common
1644,8,Gleaming
1645,6,Common
1646,5,Common
1647,5,Gleaming
1648,6,Common
1649,6,Common
1650,6,Common
1651,4,Common
1652,5,Gleaming
1653,8,Common
1654,5,Common
1655,7,Common
1656,5,Gleaming
1657,5,Gleaming
1658,5,Common
1659,5,Gleaming
1660,5,Common
1661,8,Common
1662,3,Common
1663,7,Common
1664,7,Common
1665,4,Common
1666,6,Gleaming
1667,5,Gleaming
1668,9,Gleaming
1669,5,Common
1670,5,Gleaming
1671,4,Common
1672,7,Common
1673,5,Common
1674,5,Gleaming
1675,6,Common
1676,6,Common
1677,5,Gleaming
1678,7,Common
1679,5,Gleaming
1680,5,Common
1681,7,Common
1682,6,Common
1683,5,Common
1684,5,Common
1685,5,Common
1686,5,Common
1687,5,Gleaming
1687,5,Gleaming
1688,5,Common
1689,6,Common
1690,7,Common
1691,3,Common
1692,6,Common
1693,5,Common
1694,5,Gleaming
1695,5,Common
1696,5,Common
1697,7,Common
1698,6,Common
1699,4,Common
1700,5,Gleaming
1701,5,Gleaming
1702,3,Common
1703,6,Common
1704,5,Enchanting
1705,5,Gleaming
1706,5,Gleaming
1707,5,Common
1708,5,Common
1709,5,Gleaming
1710,5,Enchanting
1711,6,Common
1712,6,Common
1713,7,Common
1714,6,Common
1715,5,Gleaming
1716,5,Common
1717,5,Common
1718,5,Common
1719,5,Gleaming
1720,7,Common
1721,5,Gleaming
1722,7,Common
1723,8,Common
1724,5,Common
1725,5,Common
1726,4,Common
1727,5,Common
1728,5,Gleaming
1729,7,Common
1730,6,Common
1731,8,Common
1732,7,Common
1733,5,Gleaming
1734,5,Gleaming
1735,7,Common
1736,6,Common
1737,6,Common
1738,5,Enchanting
1739,6,Common
1739,6,Common
1740,6,Common
1741,8,Common
1742,6,Common
1743,6,Common
1744,5,Gleaming
1745,5,Gleaming
1746,7,Common
1747,9,Common
1748,5,Gleaming
1749,4,Common
1750,5,Gleaming
1751,6,Common
1752,6,Common
1753,6,Common
1754,6,Common
1755,7,Common
1756,5,Gleaming
1757,5,Gleaming
1758,5,Gleaming
1759,5,Common
1760,5,Gleaming
1761,5,Gleaming
1762,5,Gleaming
1763,3,Gleaming
1764,5,Common
1765,5,Common
1766,5,Gleaming
1767,5,Gleaming
1768,5,Gleaming
1769,5,Gleaming
1770,5,Common
1771,5,Gleaming
1772,5,Common
1773,5,Gleaming
1774,8,Common
1775,7,Common
1776,5,Common
1777,5,Gleaming
1778,5,Common
1779,5,Enchanting
1780,6,Common
1781,7,Common
1782,5,Common
1783,5,Gleaming
1784,5,Gleaming
1785,5,Common
1786,5,Gleaming
1787,6,Common
1788,5,Enchanting
1789,4,Common
1790,4,Common
1791,8,Common
1792,6,Common
1793,5,Common
1794,5,Gleaming
1795,8,Common
1796,6,Common
1797,5,Common
1798,7,Common
1799,5,Common
1800,5,Common
1801,5,Common
1802,3,Modest
1803,5,Common
1804,6,Common
1805,5,Gleaming
1806,5,Gleaming
1807,5,Gleaming
1808,6,Gleaming
1809,5,Gleaming
1810,5,Common
1811,8,Common
1812,5,Gleaming
1813,5,Common
1814,7,Common
1815,5,Common
1816,5,Common
1817,8,Enchanting
1818,5,Common
1819,6,Common
1820,5,Gleaming
1821,5,Common
1822,5,Common
1823,5,Common
1824,6,Common
1825,5,Common
1826,5,Gleaming
1827,7,Gleaming
1828,5,Common
1829,5,Common
1830,7,Gleaming
1831,9,Common
1832,7,Common
1833,6,Common
1834,5,Gleaming
1835,6,Common
1836,7,Common
1837,6,Common
1838,7,Common
1839,7,Common
1840,5,Enchanting
1841,5,Gleaming
1842,7,Common
1843,5,Common
1844,5,Gleaming
1845,6,Common
1846,6,Common
1847,5,Common
1848,4,Common
1849,6,Common
1850,4,Common
1851,5,Common
1852,4,Common
1853,5,Gleaming
1854,5,Gleaming
1855,5,Common
1856,5,Common
1857,5,Common
1858,5,Gleaming
1859,5,Common
1860,5,Common
1861,5,Gleaming
1862,5,Common
1862,5,Common
1863,7,Common
1864,6,Common
1865,5,Common
1866,5,Gleaming
1867,5,Enchanting
1868,5,Common
1869,4,Modest
1870,9,Common
1871,7,Modest
1872,6,Common
1873,5,Common
1874,5,Gleaming
1875,5,Common
1876,3,Common
1877,7,Common
1878,4,Common
1879,5,Common
1880,6,Common
1881,6,Common
1882,7,Common
1883,7,Common
1884,7,Common
1885,5,Gleaming
1886,5,Gleaming
1887,5,Gleaming
1888,5,Gleaming
1889,5,Gleaming
1890,5,Gleaming
1891,5,Gleaming
1892,5,Common
1893,5,Common
1894,7,Common
1895,4,Common
1896,7,Common
1897,5,Gleaming
1898,3,Common
1899,5,Common
1900,7,Common
1901,5,Common
1902,5,Common
1903,5,Enchanting
1904,5,Gleaming
1905,5,Common
1906,6,Common
1907,7,Common
1908,7,Gleaming
1909,5,Common
1910,5,Gleaming
1911,5,Common
1912,6,Common
1913,6,Gleaming
1914,5,Common
1915,4,Common
1916,5,Gleaming
1917,5,Common
1918,3,Common
1919,7,Common
1920,7,Common
1921,6,Gleaming
1922,5,Gleaming
1923,5,Common
1924,7,Common
1925,5,Gleaming
1926,5,Gleaming
1927,5,Common
1928,5,Enchanting
1929,5,Enchanting
1930,7,Common
1931,5,Enchanting
1932,7,Common
1933,5,Common
1934,4,Common
1935,5,Gleaming
1936,9,Gleaming
1937,5,Gleaming
1938,5,Common
1939,6,Gleaming
1940,5,Common
1941,5,Gleaming
1942,5,Common
1943,8,Common
1944,6,Common
1945,5,Gleaming
1946,7,Common
1947,5,Common
1948,5,Gleaming
1949,9,Gleaming
1950,5,Gleaming
1951,6,Common
1952,5,Common
1953,5,Modest
1954,7,Gleaming
1955,5,Common
1956,5,Gleaming
1957,5,Gleaming
1958,5,Common
1959,6,Common
1960,5,Common
1961,5,Common
1961,5,Common
1962,6,Common
1963,6,Common
1964,7,Common
1965,4,Common
1966,5,Gleaming
1967,5,Common
1968,5,Common
1969,5,Common
1970,5,Gleaming
1971,5,Common
1972,5,Gleaming
1973,5,Common
1974,7,Common
1975,5,Common
1976,5,Common
1977,5,Common
1978,7,Common
1979,5,Common
1980,8,Common
1981,5,Gleaming
1982,8,Gleaming
1983,5,Gleaming
1984,5,Common
1985,6,Common
1986,8,Gleaming
1987,6,Common
1988,6,Common
1989,5,Common
1990,5,Gleaming
1991,5,Common
1992,6,Common
1993,8,Common
1994,5,Common
1995,5,Enchanting
1996,7,Common
1997,5,Gleaming
1998,7,Common
1999,7,Common
2000,4,Common
2001,5,Gleaming
2002,5,Common
2003,6,Common
2004,6,Common
2005,5,Gleaming
2006,5,Gleaming
2007,7,Gleaming
2008,5,Common
2009,5,Gleaming
2010,7,Common
2011,6,Common
2012,5,Gleaming
2013,5,Gleaming
2014,5,Gleaming
2015,4,Gleaming
2016,5,Common
2017,8,Common
2018,8,Common
2019,5,Common
2020,6,Common
2021,5,Gleaming
2022,6,Common
2023,5,Gleaming
2024,5,Gleaming
2025,5,Common
2026,7,Common
2027,5,Gleaming
2028,6,Common
2029,5,Gleaming
2030,5,Gleaming
2031,5,Gleaming
2032,4,Common
2033,6,Common
2034,6,Common
2035,8,Common
2036,5,Gleaming
2037,8,Common
2038,5,Common
2039,5,Gleaming
2040,7,Common
2041,5,Gleaming
2042,4,Common
2043,5,Common
2044,6,Common
2045,5,Gleaming
2046,5,Common
2047,5,Common
2048,5,Gleaming
2049,5,Common
2050,5,Common
2051,5,Gleaming
2052,5,Common
2053,6,Common
2054,5,Gleaming
2055,7,Common
2056,5,Gleaming
2057,7,Common
2058,5,Common
2059,5,Common
2060,5,Gleaming
2061,5,Gleaming
2062,3,Common
2063,6,Common
2064,6,Common
2065,6,Gleaming
2066,7,Common
2067,5,Gleaming
2068,5,Gleaming
2069,5,Common
2070,5,Common
2071,5,Gleaming
2072,5,Common
2073,5,Common
2074,8,Common
2075,5,Gleaming
2076,5,Common
2077,5,Common
2078,6,Common
2079,5,Common
2080,5,Gleaming
2081,5,Gleaming
2082,6,Common
2083,5,Common
2084,5,Gleaming
2085,5,Common
2086,5,Gleaming
2087,5,Gleaming
2088,5,Common
2089,5,Gleaming
2090,5,Enchanting
2091,7,Common
2092,6,Common
2093,5,Common
2094,7,Common
2095,5,Common
2096,7,Common
2097,6,Common
2098,5,Common
2099,5,Common
2100,5,Common
2101,7,Common
2102,5,Enchanting
2103,5,Common
2104,3,Common
2105,5,Gleaming
2106,5,Common
2107,5,Common
2108,6,Common
2109,9,Gleaming
2110,6,Common
2111,5,Gleaming
2112,7,Common
2113,5,Gleaming
2114,5,Common
2115,5,Gleaming
2116,6,Common
2117,7,Gleaming
2118,5,Gleaming
2119,5,Common
2120,5,Gleaming
2121,6,Modest
2122,5,Gleaming
2123,5,Common
2124,6,Gleaming
2125,5,Gleaming
2126,5,Common
2127,5,Gleaming
2128,5,Gleaming
2129,7,Gleaming
2130,9,Gleaming
2131,5,Gleaming
2132,4,Gleaming
2133,5,Common
2134,6,Common
2135,5,Gleaming
2136,4,Common
2137,6,Common
2138,5,Gleaming
2139,5,Gleaming
2140,5,Common
2141,5,Gleaming
2142,5,Common
2143,5,Common
2144,6,Common
2145,5,Gleaming
2146,7,Common
2147,5,Common
2148,6,Common
2149,5,Gleaming
2149,5,Gleaming
2150,6,Common
2151,5,Gleaming
2152,7,Modest
2153,7,Common
2154,4,Common
2155,3,Common
2156,8,Common
2157,7,Common
2158,8,Gleaming
2159,5,Common
2160,5,Common
2161,7,Gleaming
2162,5,Gleaming
2163,5,Gleaming
2164,5,Common
2165,5,Gleaming
2166,7,Common
2167,6,Common
2168,5,Common
2169,5,Common
2170,3,Common
2171,5,Gleaming
2172,5,Enchanting
2173,7,Common
2174,6,Common
2175,6,Common
2176,5,Enchanting
2177,9,Gleaming
2178,5,Gleaming
2179,5,Gleaming
2180,7,Gleaming
2181,5,Common
2182,5,Common
2183,5,Common
2184,5,Gleaming
2185,5,Common
2186,5,Common
2187,6,Common
2188,5,Common
2189,5,Gleaming
2190,6,Common
2191,6,Common
2192,7,Common
2193,5,Common
2194,5,Gleaming
2195,5,Common
2196,6,Common
2197,7,Common
2198,5,Gleaming
2199,7,Common
2200,6,Common
2201,5,Common
2202,6,Common
2202,6,Common
2203,6,Common
2204,2,Common
2205,7,Common
2206,5,Common
2207,5,Gleaming
2208,5,Common
2209,5,Gleaming
2210,5,Common
2211,7,Common
2212,6,Common
2213,5,Gleaming
2214,5,Gleaming
2215,5,Gleaming
2216,5,Gleaming
2217,5,Common
2218,5,Gleaming
2219,6,Common
2220,6,Common
2221,5,Gleaming
2222,5,Gleaming
2223,6,Common
2224,7,Common
2225,5,Common
2226,5,Gleaming
2227,5,Common
2228,5,Gleaming
2229,5,Gleaming
2230,5,Common
2231,5,Gleaming
2232,8,Common
2233,5,Gleaming
2234,5,Common
2235,8,Common
2236,5,Gleaming
2237,6,Gleaming
2238,4,Common
2239,5,Gleaming
2240,5,Gleaming
2241,5,Gleaming
2242,5,Common
2243,5,Common
2244,7,Common
2245,7,Common
2246,5,Gleaming
2247,5,Common
2248,6,Common
2249,5,Common
2250,7,Common
2251,5,Common
2252,5,Common
2253,5,Gleaming
2254,5,Gleaming
2255,5,Gleaming
2256,6,Common
2257,5,Gleaming
2258,5,Gleaming
2259,6,Common
2260,5,Gleaming
2261,5,Gleaming
2262,5,Gleaming
2263,5,Enchanting
2264,5,Gleaming
2265,4,Common
2266,5,Gleaming
2267,5,Gleaming
2268,6,Common
2269,6,Common
2270,5,Gleaming
2271,5,Common
2272,8,Common
2273,5,Enchanting
2274,5,Gleaming
2275,5,Enchanting
2276,7,Common
2277,5,Enchanting
2278,4,Common
2279,8,Common
2280,5,Gleaming
2281,7,Gleaming
2282,6,Common
2283,6,Common
2284,5,Gleaming
2285,4,Common
2286,5,Gleaming
2287,5,Enchanting
2287,5,Enchanting
2288,6,Common
2289,5,Gleaming
2290,6,Common
2291,5,Common
2292,5,Common
2293,9,Common
2294,5,Gleaming
2295,5,Common
2296,5,Common
2297,5,Gleaming
2298,7,Modest
2299,5,Gleaming
2300,8,Common
2301,7,Common
2302,7,Common
2303,5,Common
2304,7,Common
2305,6,Common
2306,5,Gleaming
2307,5,Common
2308,5,Common
2309,8,Common
2310,5,Gleaming
2311,5,Common
2312,5,Common
2313,6,Common
2314,5,Common
2315,5,Gleaming
2316,5,Common
2317,5,Gleaming
2318,5,Gleaming
2319,5,Gleaming
2320,5,Gleaming
2321,5,Common
2322,5,Enchanting
2323,5,Enchanting
2324,5,Gleaming
2325,5,Gleaming
2326,5,Gleaming
2327,5,Common
2328,5,Gleaming
2329,5,Gleaming
2330,5,Gleaming
2331,5,Common
2332,5,Enchanting
2333,7,Common
2334,8,Common
2335,5,Gleaming
2336,6,Common
2337,6,Common
2338,7,Common
2339,8,Common
